venue_id,genre,acts,venue_name,city,latitude,longitude,fetched_at
KovZpZAnalJA,Dance/Electronic,3,O2 Academy Bristol,Bristol,51.454142,-2.600849,2026-08-06T17:36:43
KovZpZAnalJA,Folk,1,O2 Academy Bristol,Bristol,51.454142,-2.600849,2026-08-06T17:36:43
KovZpZAnalJA,Hip-Hop/Rap,5,O2 Academy Bristol,Bristol,51.454142,-2.600849,2026-08-06T17:36:43
KovZpZAnalJA,Metal,6,O2 Academy Bristol,Bristol,51.454142,-2.600849,2026-08-06T17:36:43
KovZpZAnalJA,Pop,6,O2 Academy Bristol,Bristol,51.454142,-2.600849,2026-08-06T17:36:43
KovZpZAnalJA,R&B,2,O2 Academy Bristol,Bristol,51.454142,-2.600849,2026-08-06T17:36:43
KovZpZAnalJA,Reggae,2,O2 Academy Bristol,Bristol,51.454142,-2.600849,2026-08-06T17:36:43
KovZpZAnalJA,Rock,25,O2 Academy Bristol,Bristol,51.454142,-2.600849,2026-08-06T17:36:43
KovZpZAnan6A,Classical,1,Cadogan Hall,London,51.493673,-0.157586,2026-08-06T17:36:43
KovZpZAnan6A,Jazz,2,Cadogan Hall,London,51.493673,-0.157586,2026-08-06T17:36:43
KovZpZAnan6A,Rock,5,Cadogan Hall,London,51.493673,-0.157586,2026-08-06T17:36:43
KovZpZAnanIA,Dance/Electronic,1,Southend Cliffs Pavilion,Southend-On-Sea,51.53582,0.697435,2026-08-06T17:36:43
KovZpZAnanIA,Pop,4,Southend Cliffs Pavilion,Southend-On-Sea,51.53582,0.697435,2026-08-06T17:36:43
KovZpZAnanIA,R&B,2,Southend Cliffs Pavilion,Southend-On-Sea,51.53582,0.697435,2026-08-06T17:36:43
KovZpZAnanIA,Rock,10,Southend Cliffs Pavilion,Southend-On-Sea,51.53582,0.697435,2026-08-06T17:36:43
KovZpZAnanaA,Alternative,1,Colchester Arts Centre,Colchester,51.888861,0.895354,2026-08-06T17:36:43
KovZpZAnanaA,Rock,1,Colchester Arts Centre,Colchester,51.888861,0.895354,2026-08-06T17:36:43
KovZpZAnankA,Jazz,1,Piano Bar Soho,London,51.5111127,-0.1343758,2026-08-06T17:36:43
KovZpZAnataA,Dance/Electronic,1,Sheffield City Hall,Sheffield,53.38118,-1.471079,2026-08-06T17:36:43
KovZpZAnklaA,Folk,1,Cardiff University Students Union,Cardiff,51.488423,-3.177473,2026-08-06T17:36:43
KovZpZAnklaA,Metal,2,Cardiff University Students Union,Cardiff,51.488423,-3.177473,2026-08-06T17:36:43
KovZpZAnklaA,Pop,1,Cardiff University Students Union,Cardiff,51.488423,-3.177473,2026-08-06T17:36:43
KovZpZAnklaA,Rock,3,Cardiff University Students Union,Cardiff,51.488423,-3.177473,2026-08-06T17:36:43
KovZpZAnkn1A,Alternative,1,100 Club,London,51.516225,-0.135345,2026-08-06T17:36:43
KovZpZAnkn1A,Rock,6,100 Club,London,51.516225,-0.135345,2026-08-06T17:36:43
KovZpZAnknnA,Dance/Electronic,2,Audley End,Essex,52.020824,0.220604,2026-08-06T17:36:43
KovZpZAnknnA,Hip-Hop/Rap,1,Audley End,Essex,52.020824,0.220604,2026-08-06T17:36:43
KovZpZAnknnA,Rock,1,Audley End,Essex,52.020824,0.220604,2026-08-06T17:36:43
KovZpZAnl1EA,Dance/Electronic,3,Ulster Sports Club ,Belfast,54.600743,-5.925152,2026-08-06T17:36:43
KovZpZAnl1EA,Folk,2,Ulster Sports Club ,Belfast,54.600743,-5.925152,2026-08-06T17:36:43
KovZpZAnl1EA,Metal,1,Ulster Sports Club ,Belfast,54.600743,-5.925152,2026-08-06T17:36:43
KovZpZAnl1EA,Pop,2,Ulster Sports Club ,Belfast,54.600743,-5.925152,2026-08-06T17:36:43
KovZpZAnl1EA,Rock,8,Ulster Sports Club ,Belfast,54.600743,-5.925152,2026-08-06T17:36:43
KovZpZAnlEtA,Alternative,3,Nightrain,Bradford,53.794419,-1.753727,2026-08-06T17:36:43
KovZpZAnlEtA,Metal,4,Nightrain,Bradford,53.794419,-1.753727,2026-08-06T17:36:43
KovZpZAnlEtA,Pop,1,Nightrain,Bradford,53.794419,-1.753727,2026-08-06T17:36:43
KovZpZAnlEtA,Rock,10,Nightrain,Bradford,53.794419,-1.753727,2026-08-06T17:36:43
KovZpZAnlIkA,Folk,1,Lions Den,Manchester,53.477374,-2.249832,2026-08-06T17:36:43
KovZpZAnn6JA,Pop,1,Folklore,London,51.530449,-0.072944,2026-08-06T17:36:43
KovZpZAnnF7A,Alternative,2,The Prince Albert,Brighton,50.82829,-0.13936,2026-08-06T17:36:43
KovZpZAnnF7A,Dance/Electronic,2,The Prince Albert,Brighton,50.82829,-0.13936,2026-08-06T17:36:43
KovZpZAnnF7A,Metal,1,The Prince Albert,Brighton,50.82829,-0.13936,2026-08-06T17:36:43
KovZpZAnnF7A,Pop,1,The Prince Albert,Brighton,50.82829,-0.13936,2026-08-06T17:36:43
KovZpZAnnF7A,Rock,5,The Prince Albert,Brighton,50.82829,-0.13936,2026-08-06T17:36:43
KovZpZAnnJnA,Metal,2,Chinnerys,Southend-On-Sea,51.533277,0.71916,2026-08-06T17:36:43
KovZpZAnnJnA,Rock,3,Chinnerys,Southend-On-Sea,51.533277,0.71916,2026-08-06T17:36:43
KovZpZAntvEA,Alternative,1,SJQ,London,51.548678,-0.076239,2026-08-06T17:36:43
KovZpZAntvEA,Hip-Hop/Rap,1,SJQ,London,51.548678,-0.076239,2026-08-06T17:36:43
KovZpZAntvEA,Jazz,2,SJQ,London,51.548678,-0.076239,2026-08-06T17:36:43
KovZpZAnvIaA,Rock,1,Chats Palace Arts Centre,London,51.550129,-0.042788,2026-08-06T17:36:43
KovZpZAnvIdA,R&B,1,Indigo at The O2,London,51.4849842,0.0158461,2026-08-06T17:36:43
KovZpZAnvalA,Blues,1,"Boisdale, Canary Wharf",London,51.505252,-0.022271,2026-08-06T17:36:43
KovZpZAnvalA,Dance/Electronic,3,"Boisdale, Canary Wharf",London,51.505252,-0.022271,2026-08-06T17:36:43
KovZpZAnvalA,Hip-Hop/Rap,1,"Boisdale, Canary Wharf",London,51.505252,-0.022271,2026-08-06T17:36:43
KovZpZAnvalA,Jazz,4,"Boisdale, Canary Wharf",London,51.505252,-0.022271,2026-08-06T17:36:43
KovZpZAnvalA,Pop,5,"Boisdale, Canary Wharf",London,51.505252,-0.022271,2026-08-06T17:36:43
KovZpZAnvalA,R&B,16,"Boisdale, Canary Wharf",London,51.505252,-0.022271,2026-08-06T17:36:43
KovZpZAnvalA,Reggae,3,"Boisdale, Canary Wharf",London,51.505252,-0.022271,2026-08-06T17:36:43
KovZpZAnvalA,Rock,9,"Boisdale, Canary Wharf",London,51.505252,-0.022271,2026-08-06T17:36:43
KovZpZAt177A,Rock,2,The Station,Cannock,56.690633,-2.031285,2026-08-06T17:36:43
KovZpZAt1dFA,Metal,1,The Foundry,Torquay,50.46104,-3.522816,2026-08-06T17:36:43
KovZpZAt1dFA,Rock,1,The Foundry,Torquay,50.46104,-3.522816,2026-08-06T17:36:43
KovZpZAt1kFA,Alternative,1,Actress and Bishop,Birmingham,52.4844,-1.90469,2026-08-06T17:36:43
KovZpZAt1nnA,Alternative,3,Fuel Rock Club,Cardiff,51.480543,-3.181672,2026-08-06T17:36:43
KovZpZAt1nnA,Country,1,Fuel Rock Club,Cardiff,51.480543,-3.181672,2026-08-06T17:36:43
KovZpZAt1nnA,Metal,1,Fuel Rock Club,Cardiff,51.480543,-3.181672,2026-08-06T17:36:43
KovZpZAt1nnA,Rock,5,Fuel Rock Club,Cardiff,51.480543,-3.181672,2026-08-06T17:36:43
KovZpZAt6AEA,Alternative,23,New Cross Inn,London,51.475524,-0.03838,2026-08-06T17:36:43
KovZpZAt6AEA,Blues,1,New Cross Inn,London,51.475524,-0.03838,2026-08-06T17:36:43
KovZpZAt6AEA,Folk,2,New Cross Inn,London,51.475524,-0.03838,2026-08-06T17:36:43
KovZpZAt6AEA,Metal,16,New Cross Inn,London,51.475524,-0.03838,2026-08-06T17:36:43
KovZpZAt6AEA,Pop,3,New Cross Inn,London,51.475524,-0.03838,2026-08-06T17:36:43
KovZpZAt6AEA,R&B,1,New Cross Inn,London,51.475524,-0.03838,2026-08-06T17:36:43
KovZpZAt6AEA,Reggae,1,New Cross Inn,London,51.475524,-0.03838,2026-08-06T17:36:43
KovZpZAt6AEA,Rock,37,New Cross Inn,London,51.475524,-0.03838,2026-08-06T17:36:43
KovZpZAt6FkA,Rock,1,The Booking Hall,Dover,51.132381,1.302573,2026-08-06T17:36:43
KovZpZAt6FlA,Rock,1,Tunbridge Wells Forum,Tunbridge Wells,51.127108,0.258341,2026-08-06T17:36:43
KovZpZAt6JtA,Rock,1,The Peer Hat,Manchester,53.482586,-2.232669,2026-08-06T17:36:43
KovZpZAt6a7A,Rock,1,The Craufurd Arms,Milton Keynes,52.06244,-0.815693,2026-08-06T17:36:43
KovZpZAt6aFA,Alternative,2,The Record Factory,Glasgow,55.870826,-4.299216,2026-08-06T17:36:43
KovZpZAt6t6A,Country,2,The Brook,Southampton,50.932847,-1.383409,2026-08-06T17:36:43
